location,new_deaths,date
India,1,3/11/2020
India,0,3/12/2020
India,1,3/13/2020
India,0,3/14/2020
India,0,3/15/2020
India,0,3/16/2020
India,1,3/17/2020
India,0,3/18/2020
India,1,3/19/2020
India,1,3/20/2020
India,3,3/22/2020
India,3,3/23/2020
India,0,3/24/2020
India,2,3/25/2020
India,8,3/26/2020
India,0,3/27/2020
India,4,3/28/2020
India,3,3/29/2020
India,5,3/30/2020
India,3,3/31/2020
India,23,4/1/2020
India,14,4/2/2020
India,0,4/3/2020
India,14,4/4/2020
India,13,4/5/2020
India,37,4/6/2020
India,14,4/7/2020
India,28,4/8/2020
India,48,4/9/2020
India,20,4/10/2020
India,42,4/11/2020
India,43,4/12/2020
India,27,4/13/2020
India,35,4/14/2020
India,12,4/15/2020
India,43,4/16/2020
India,38,4/17/2020
India,35,4/18/2020
India,38,4/19/2020
India,33,4/20/2020
India,53,4/21/2020
India,36,4/22/2020
India,40,4/23/2020
India,59,4/24/2020
India,45,4/25/2020
India,56,4/26/2020
India,58,4/27/2020
India,69,4/28/2020
India,71,4/29/2020
India,75,4/30/2020
India,69,5/1/2020
India,100,5/2/2020
India,68,5/3/2020
India,175,5/4/2020
India,127,5/5/2020
India,92,5/6/2020
India,104,5/7/2020
India,96,5/8/2020
India,116,5/9/2020
India,111,5/10/2020
India,82,5/11/2020
India,121,5/12/2020
India,136,5/13/2020
India,98,5/14/2020
India,104,5/15/2020
India,118,5/16/2020
India,154,5/17/2020
India,131,5/18/2020
India,146,5/19/2020
India,132,5/20/2020
India,150,5/21/2020
India,142,5/22/2020
India,142,5/23/2020
India,156,5/24/2020
India,148,5/25/2020
India,172,5/26/2020
India,190,5/27/2020
India,177,5/28/2020
India,269,5/29/2020
India,205,5/30/2020
India,223,5/31/2020
India,200,6/1/2020
India,221,6/2/2020
India,259,6/3/2020
India,275,6/4/2020
India,286,6/5/2020
India,297,6/6/2020
India,261,6/7/2020
India,266,6/8/2020
India,277,6/9/2020
India,352,6/10/2020
India,396,6/11/2020
India,386,6/12/2020
India,311,6/13/2020
India,325,6/14/2020
India,380,6/15/2020
India,2003,6/16/2020
India,334,6/17/2020
India,336,6/18/2020
India,375,6/19/2020
India,306,6/20/2020
India,445,6/21/2020
India,312,6/22/2020
India,465,6/23/2020
India,418,6/24/2020
India,407,6/25/2020
India,384,6/26/2020
India,410,6/27/2020
India,380,6/28/2020
India,418,6/29/2020
India,507,6/30/2020
India,434,7/1/2020
India,379,7/2/2020
India,442,7/3/2020
India,613,7/4/2020
India,425,7/5/2020
India,466,7/6/2020
India,483,7/7/2020
India,487,7/8/2020
India,475,7/9/2020
India,519,7/10/2020
India,550,7/11/2020
India,501,7/12/2020
India,553,7/13/2020
India,582,7/14/2020
India,605,7/15/2020
India,688,7/16/2020
India,671,7/17/2020
India,543,7/18/2020
India,681,7/19/2020
India,585,7/20/2020
India,650,7/21/2020
India,1129,7/22/2020
India,740,7/23/2020
India,757,7/24/2020
India,702,7/25/2020
