location,total_cases,TotalDeaths,population,percentagePopulationinfected
Faeroe Islands,34658,28,52888,65.53093329
Cyprus,574124,1152,896007,64.07583869
Gibraltar,20072,107,32670,61.43862871
San Marino,20242,118,33746,59.98340544
Andorra,45975,156,79034,58.17116684
Denmark,3267003,6811,5854240,55.80575788
Iceland,204331,147,370335,55.17463918
Austria,4915075,20541,8922082,55.08887948
Saint Pierre and Miquelon,3133,1,5883,53.25514193
Slovenia,1112949,6758,2119410,52.51220859
Portugal,5391908,24775,10290103,52.39897016
France,34874171,154073,67422000,51.72520987
Falkland Islands,1883,NULL,3764,50.02656748
Israel,4626034,11592,9291000,49.79048542
Liechtenstein,19009,87,39039,48.69233331
Brunei,215301,225,445373,48.34172705
Netherlands,8386719,22694,17501696,47.91946449
Latvia,891726,5931,1873919,47.586155
Slovakia,2585060,20236,5447622,47.45299876
Switzerland,4012610,14107,8691406,46.16755908
Georgia,1723087,16883,3757980,45.85141486
Bahrain,669937,1513,1463265,45.78370972
Luxembourg,287037,1123,639321,44.89716434
Estonia,596189,2651,1328701,44.87006482
Isle of Man,37794,115,84263,44.85242633
Greece,4654737,32028,10445365,44.56270317
Cayman Islands,29907,30,68136,43.89309616
Montenegro,273185,2768,627859,43.51056527
Lithuania,1209216,9265,2786651,43.39316262
South Korea,22449474,26161,51830139,43.3135516
Seychelles,45857,168,106470,43.07034845
Bonaire Sint Eustatius and Saba,11091,39,26706,41.52999326
Aruba,42696,287,106536,40.07659383
Monaco,14421,64,36686,39.30927329
Belgium,4471620,32580,11611420,38.51053532
Australia,9963318,13108,25921089,38.43711196
Czechia,4030919,40777,10510750,38.35044121
Germany,31868698,146671,83408554,38.20794927
Cook Islands,6265,1,17003,36.84643886
Italy,21661033,174828,59240330,36.56467309
Barbados,99690,532,281200,35.45163585
Maldives,184788,307,521458,35.43679453
United Kingdom,22713515,408128,67281040,33.75916157
New Zealand,1721841,1858,5129728,33.56593176
Singapore,1818560,1584,5453600,33.34604665
Ireland,1662014,7801,4986526,33.33009795
Serbia,2248288,16548,6871547,32.71880408
Croatia,1206633,16579,4060135,29.71903644
Palau,5308,6,18024,29.44962273
Mongolia,975650,2125,3347782,29.14317599
Uruguay,977326,7438,3426260,28.52457198
Spain,13401235,113054,47486935,28.22088855
United States,93623892,1041427,336997624,27.7817662
Bermuda,17674,148,64185,27.53602867
Norway,1459129,3549,5403021,27.00579916
Marshall Islands,10803,14,42050,25.69084423
New Caledonia,73454,314,287800,25.52258513
French Polynesia,76329,649,304032,25.10558099
Montserrat,1106,9,4417,25.03961965
Sweden,2558943,19938,10467097,24.44749485
Anguilla,3805,11,15753,24.15412937
Curacao,45243,285,190338,23.76982
British Virgin Islands,7131,63,31122,22.91305186
Chile,4449016,47945,19493184,22.82344434
Finland,1250557,5283,5535992,22.58957383
Panama,972800,8456,4351267,22.35670668
Malta,113875,801,526748,21.61849689
Lebanon,1204727,10606,5592631,21.54132822
Argentina,9658391,129646,45276780,21.33188579
Greenland,11972,22,56243,21.28620451
Taiwan,5060180,9657,23859912,21.20787369
Hungary,2021648,47083,9709786,20.82072664
Costa Rica,1069162,8808,5153957,20.74448817
Dominica,14886,68,72412,20.55736618
Mauritius,254542,1020,1298915,19.59650939
Hong Kong,1464879,9610,7494578,19.54585035
Turkey,15848623,100400,84775404,18.6948363
Moldova,561196,11108,3061506,18.33071697
Bulgaria,1235510,37560,6885868,17.94269074
Belize,68032,684,400031,17.00668198
Romania,3189594,66500,19328560,16.50197428
North Macedonia,338120,9450,2103330,16.07546129
Poland,6144404,116881,38307726,16.03959473
Brazil,34179782,682632,214326223,15.9475502
Saint Lucia,28621,389,179652,15.93135618
Qatar,424419,681,2688235,15.78801704
Jordan,1731659,14105,11148278,15.5329729
Armenia,432274,8650,2790974,15.48828474
Kuwait,657042,2563,4250114,15.45939709
Grenada,19178,234,124610,15.3904181
Kosovo,269888,3191,1782115,15.14425276
Malaysia,4759830,36155,33573874,14.17718432
Turks and Caicos Islands,6352,36,45114,14.07988651
Japan,17329183,37304,124612530,13.90645307
Saint Kitts and Nevis,6495,46,47606,13.64323825
Palestine,698384,5694,5133392,13.60472763
Tonga,14135,12,106017,13.33276739
Suriname,81007,1382,612984,13.21518996
Russia,18871701,375845,145102755,13.00574962
Botswana,325850,2777,2588423,12.58874612
Colombia,6293130,141406,51516562,12.21574142
Ukraine,5314531,116552,43531422,12.2084939
Peru,4078373,216115,33715472,12.09644344
Bosnia and Herzegovina,393804,16018,3270943,12.03946385
Vietnam,11386016,43107,97468028,11.6817958
Trinidad and Tobago,177113,4105,1525663,11.60892019
Albania,326181,3576,2854710,11.42606429
Canada,4184341,44116,38155012,10.96668768
United Arab Emirates,1010399,2341,9365144,10.78893181
Paraguay,714340,19448,6703799,10.65574908
Cape Verde,62289,411,587925,10.59471871
Saint Vincent and the Grenadines,10956,115,104332,10.50109267
Belarus,994037,7118,9578168,10.37815373
Cuba,1110054,8531,11256372,9.861561078
Antigua and Barbuda,8897,144,93220,9.544089251
Tunisia,1142346,29213,12262946,9.315428772
Bahamas,37031,823,407906,9.078317063
Bolivia,1094285,22175,12079472,9.059046621
Guyana,70830,1278,804567,8.803493059
Oman,397574,4260,4520471,8.794968489
Iran,7510702,143449,87923432,8.542321232
Kazakhstan,1534597,19317,19196465,7.994164551
Azerbaijan,808738,9793,10312992,7.841933747
Bhutan,60898,21,777486,7.832681232
Libya,506602,6439,6735277,7.521620863
Fiji,68083,879,924610,7.363428905
Samoa,15703,29,218764,7.17805489
Micronesia (country),7727,21,113131,6.830134976
South Africa,3991414,101743,59392255,6.720428446
Namibia,169253,4075,2530151,6.689442646
Wallis and Futuna,761,7,11627,6.545110519
Thailand,4646539,32156,71601103,6.489479638
Guatemala,1085456,19355,17608483,6.164392469
Eswatini,73344,1419,1192271,6.151621569
Dominican Republic,636416,4384,11117874,5.724259872
Vatican,29,NULL,511,5.675146771
Iraq,2456555,25343,43533592,5.642895261
Ecuador,1001878,23177,17797737,5.629243763
Mexico,6950053,321826,126705138,5.485217971
Jamaica,148952,3237,2827694,5.267613822
Honduras,450413,11059,10278346,4.382154483
Vanuatu,11783,14,319136,3.692156322
Morocco,1264010,16270,37076584,3.409186779
