Location,Vaccination_percentage
Pitcairn,100
United Arab Emirates,99.91
Qatar,98.45
Gibraltar,98.11
Brunei,97.9
Singapore,91.71
Samoa,90.92
Chile,90.53
Malta,89.32
China,88.95
Cuba,88.7
Cayman Islands,88.14
Hong Kong,87.51
Cambodia,87.18
Bhutan,86.7
Macao,86.57
Portugal,86.54
Cook Islands,86.37
South Korea,86.17
Spain,85.55
Uruguay,84.39
Vietnam,84.13
Taiwan,83.99
Australia,83.93
Bahrain,83.72
Argentina,83.32
Peru,83.18
Canada,82.64
Nicaragua,82.58
Japan,82.36
Malaysia,81.87
Denmark,81.75
Guernsey,81.43
Costa Rica,81.28
Ireland,81.19
Italy,80.96
New Zealand,80.5
Tuvalu,80.46
Brazil,79.94
Isle of Man,79.64
Ecuador,79.13
Belgium,78.86
France,78.64
Finland,78.4
Kuwait,78.39
Iceland,78.36
Aruba,78.26
Rwanda,77.91
Faeroe Islands,77.32
Austria,76.44
Seychelles,76.2
Germany,76.03
Mauritius,75.27
United Kingdom,75.21
Norway,74.98
Thailand,74.48
Bermuda,74.25
Jersey,74.09
Maldives,73.8
Sweden,73.19
Niue,73.15
Greece,73.09
Tonga,72.22
Northern Cyprus,72.2
Panama,72.11
Cyprus,72.04
Bangladesh,71.44
Colombia,70.65
Laos,70.34
San Marino,70.03
Monaco,69.96
Saudi Arabia,69.77
Latvia,69.69
Nepal,69.51
Switzerland,69.13
Fiji,68.92
Nauru,68.61
El Salvador,68.59
Greenland,68.46
Netherlands,68.39
Liechtenstein,67.72
Andorra,67.64
Lithuania,67.39
United States,67.37
Oman,67.35
Turks and Caicos Islands,67.14
Sri Lanka,66.88
India,66.77
Antigua and Barbuda,66.54
Belarus,66.52
Israel,66.21
Iran,66.03
Czechia,65.51
Anguilla,65.47
Saint Helena,65.34
Mongolia,64.99
Hungary,63.79
Estonia,63.56
Morocco,63.31
Mexico,63.1
Philippines,63.08
New Caledonia,62.72
Turkey,62.68
Bonaire Sint Eustatius and Saba,62.67
Indonesia,62.3
Tokelau,60.84
French Polynesia,60.68
Sint Maarten (Dutch part),60.2
Poland,58.84
Botswana,58.44
British Virgin Islands,58.44
Slovenia,57.67
Guyana,57.37
Saint Kitts and Nevis,56.6
Pakistan,56.53
Timor,55.85
Wallis and Futuna,55.53
Croatia,55.35
Barbados,54.86
Belize,54.78
Dominican Republic,54.22
Honduras,53.79
Curacao,52.42
Cape Verde,52.4
Paraguay,52.29
Russia,52.08
Tunisia,52.02
Tajikistan,51.77
Myanmar,51.2
Slovakia,50.73
Venezuela,50.66
Bolivia,50.34
Kiribati,48.09
Serbia,47.71
Falkland Islands,47.16
Azerbaijan,47.14
Trinidad and Tobago,46.94
Kazakhstan,46.94
Comoros,46.5
Uzbekistan,46.34
Kosovo,46.26
Turkmenistan,46.04
Sao Tome and Principe,45.57
Montenegro,45.35
Liberia,44.83
Albania,43.97
Montserrat,43.54
Lebanon,42.74
Dominica,42.21
Romania,41.98
Vanuatu,40.93
Jordan,40.86
Mozambique,39.92
Bahamas,39.89
North Macedonia,39.82
Suriname,38.81
Guatemala,38.28
Lesotho,38.25
Egypt,35.68
Armenia,35.32
Ukraine,34.81
Moldova,34.74
Palestine,34.56
Georgia,33.89
South Africa,32.48
Grenada,31.08
Mauritania,30.56
Ethiopia,30.52
Saint Lucia,30.47
Cote d'Ivoire,30.46
Bulgaria,30.03
Saint Vincent and the Grenadines,29.87
Zimbabwe,29.34
Zambia,28.98
Eswatini,28.69
Solomon Islands,27.7
Uganda,27.12
Bosnia and Herzegovina,25.87
Jamaica,25.61
Ghana,24.4
Afghanistan,23.98
Tanzania,23.24
Central African Republic,22.84
Sierra Leone,22.78
Angola,22.36
Chad,21.01
Benin,20.66
Kyrgyzstan,20.34
Namibia,19.35
Guinea,18.98
Libya,18.17
Togo,18.02
Djibouti,17.94
Iraq,17.8
Kenya,17.6
Guinea-Bissau,17.53
Algeria,15.51
South Sudan,14.25
Gambia,13.54
Nigeria,13.2
Equatorial Guinea,13.09
Somalia,12.41
Niger,11.83
Congo,11.21
Gabon,10.98
Sudan,9.94
Malawi,9.72
Syria,9.26
Burkina Faso,7.42
Mali,6.84
Senegal,6.39
Luxembourg,5.92
Madagascar,4.8
Cameroon,4.51
Papua New Guinea,2.84
Democratic Republic of Congo,2.64
Haiti,1.45
Yemen,1.37
Burundi,0.14
